source_id,num_bugs,num_mutation_types,categories,mutation_types
tests/5.0/parallel_master_taskloop/test_parallel_master_taskloop_device.c,2,2,parallel_master_taskloop,"CHANGE_ASSIGNMENT, REMOVE_CONSTRUCT"
tests/5.0/parallel_master_taskloop_simd/test_parallel_master_taskloop_simd_device.c,2,2,parallel_master_taskloop_simd,"CHANGE_ASSIGNMENT, REMOVE_CLAUSE"
tests/5.0/requires/test_requires_unified_shared_memory_heap_is_device_ptr.c,2,2,requires,"CHANGE_CONSTANT, REMOVE_CONSTRUCT"
tests/5.0/requires/test_requires_unified_shared_memory_omp_target_alloc.c,2,2,requires,"CHANGE_CONFIGURATION, CHANGE_CONSTANT"
tests/5.0/requires/test_requires_unified_shared_memory_malloc_is_device_ptr.c,2,2,requires,"CHANGE_CONFIGURATION, REMOVE_CONSTRUCT"
tests/5.0/requires/test_requires_unified_shared_memory_static_is_device_ptr.c,2,2,requires,"CHANGE_CONSTANT, REMOVE_CONSTRUCT"
tests/5.0/requires/test_requires_unified_shared_memory_stack_is_device_ptr.c,2,2,requires,"CHANGE_CONFIGURATION, CHANGE_CONSTANT"
tests/5.0/target/test_target_collapse.c,2,2,target,"CHANGE_ASSIGNMENT, REMOVE_SYNCHRONIZATION"
tests/5.0/loop/test_loop_reduction_subtract_device.c,2,2,loop,"CHANGE_ASSIGNMENT, REMOVE_CLAUSE"
tests/5.0/teams_loop/test_target_teams_loop_reduction.c,2,2,teams_loop,"CHANGE_ASSIGNMENT, REMOVE_CLAUSE"
tests/5.0/teams_loop/test_target_teams_loop_defaultmap.c,2,2,teams_loop,"CHANGE_MAPPING, CHANGE_OPERATOR"
tests/5.0/teams/test_team_default_shared.c,2,2,teams,"CHANGE_CLAUSE, CHANGE_LOOP_BOUND"
tests/5.0/teams_loop/test_target_teams_loop_collapse.c,2,2,teams_loop,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/5.0/taskloop/test_taskloop_in_reduction_device.c,2,2,taskloop,"CHANGE_ASSIGNMENT, REMOVE_DEPENDENCY"
tests/5.0/taskloop_simd/test_taskloop_simd_in_reduction_device.c,2,2,taskloop_simd,"CHANGE_ASSIGNMENT, REMOVE_DEPENDENCY"
tests/5.1/allocate/test_calloc_host.c,2,2,allocate,"CHANGE_CONFIGURATION, CHANGE_LOOP_BOUND"
tests/5.1/allocate/test_allocate_allocator_align.c,2,2,allocate,"CHANGE_LOOP_BOUND, CHANGE_MAPPING"
tests/5.0/target_teams_distribute/test_target_teams_distribute_reduction_subtract.c,2,2,target_teams_distribute,"CHANGE_ASSIGNMENT, REMOVE_CLAUSE"
tests/5.0/target_teams_distribute/test_target_teams_distribute_reduction_bitxor.c,2,2,target_teams_distribute,"CHANGE_ASSIGNMENT, CHANGE_OPERATOR"
tests/5.0/task/test_task_depend_mutexinoutset.c,2,2,task,"REMOVE_DEPENDENCY, REMOVE_SYNCHRONIZATION"
tests/5.0/target/test_target_map_with_close_modifier.c,2,2,target,"CHANGE_ASSIGNMENT, CHANGE_CONSTANT"
tests/5.0/target/test_target_parallel_is_dev_ptr.c,2,2,target,"CHANGE_ASSIGNMENT, CHANGE_VARIABLE"
tests/5.0/target/test_target_parallel_reduction.c,2,2,target,"CHANGE_ASSIGNMENT, REMOVE_CLAUSE"
tests/5.0/target/test_target_teams_is_device_ptr.c,2,2,target,"CHANGE_CONFIGURATION, REMOVE_CONSTRUCT"
tests/5.0/target/test_target_teams_num_teams.c,2,2,target,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/5.0/task/test_task_affinity_device.c,2,2,task,"CHANGE_ASSIGNMENT, REMOVE_CONSTRUCT"
tests/5.0/task/test_parallel_for_reduction_task_device.c,2,2,task,"CHANGE_ASSIGNMENT, REMOVE_DEPENDENCY"
tests/5.0/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_collapse.c,2,2,target_teams_distribute_parallel_for,"CHANGE_ASSIGNMENT, CHANGE_MAPPING"
tests/5.0/taskgroup/test_taskgroup_task_reduction_device.c,2,2,taskgroup,"CHANGE_OPERATOR, REMOVE_DEPENDENCY"
tests/5.0/task/test_task_detach.c,2,2,task,"REMOVE_CONSTRUCT, REMOVE_DEPENDENCY"
tests/5.0/task/test_task_in_reduction_device.c,2,2,task,"CHANGE_ASSIGNMENT, REMOVE_DEPENDENCY"
tests/5.0/target_parallel_loop/test_target_parallel_loop_reduction.c,2,1,target_parallel_loop,CHANGE_OPERATOR
